_c0,Date,Number_of_Retweets,Tweet
2,"23 April",77,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

Obama: I Underestimated the Threat of Disinformation

 https://t.co/U3YVuTC542 
 
#Ukraine
#StandWithUkraine…"
4,"23 April",2343,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
5,"23 April",218,"RT @Mariana_Betsa: Two beautiful talented girls Yelizaveta and Sonya were killed in Mariupol. They were actors in Mariupol theatre. - advis…"
8,"23 April",877,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
9,"23 April",334,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
10,"23 April",102,"RT @Gerashchenko_en: Police officers take care of kids in bomb shelters. @PoliceKharkiv organized a break dance workshop for children hidin…"
11,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
12,"23 April",2343,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
14,"23 April",701,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
17,"23 April",849,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
19,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
20,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
21,"23 April",215,"RT @marikinoo: Ukrainian Easter 2022 be like
#StandWithUkraine #RussianWarCrimes #StopRussia https://t.co/RiigRlIaMu"
22,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
24,"23 April",335,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
25,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
26,"23 April",4946,"RT @lesiavasylenko: As of today heavy weapons and military aid arrives to #Ukraine from USA 🇺🇸 Canada 🇨🇦 UK 🇬🇧 Netherlands 🇳🇱 Japan 🇯🇵 Ital…"
30,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
